id,created_at,text,fav
1191623909465964548,2019-11-05 07:50:53,ആ ഉറുമ്പിനെ വെള്ളത്തിൽ മുക്കി കൊന്ന് 🤷🏻‍♀️,11
1191623233725853696,2019-11-05 07:48:12,തെണ്ടി ഉറുമ്പ് മുറിവുള്ളടുത്തു കുത്തി 😐,21
1191602932027756544,2019-11-05 06:27:32,4 ഡേയ്സ് ♥️,5
1191407441415524352,2019-11-04 17:30:43,11:00 മിസ്സ്യു,9
1191406562255835136,2019-11-04 17:27:14,നമ്മക്കൊന്നും വാച്ച് പോയിട്ട് മൊട്ടുസൂചി വാങ്ങി തരാൻ വരെ ആരൂല്ലല്ലോ എന്നോർക്കുമ്പോഴാണ് 😪,80
1191405664087621632,2019-11-04 17:23:40,ഓനെ തളർത്തിയപ്പോ എന്ത് സമാധാനം 😌😌,18
1191402753630732294,2019-11-04 17:12:06,മിസ്സ്യു തെംസ് ..... ഫേക്കിൽ നിന്നും എല്ലാം കാണുന്നുണ്ടല്ലോല്ലേ @themucha_,4
1191399331825254400,2019-11-04 16:58:30,യോയോ 😌,8
1191398257135702017,2019-11-04 16:54:14,അനോണിമിറ്റി പൊളിച്ചാലോ 😌😌,23
1191397672306933762,2019-11-04 16:51:54,വിരഹം എന്താണെന്ന് പോലും അറിയാത്ത ട്വീപ് 😌,7
1191391399511355393,2019-11-04 16:26:59,എനിക്ക് കട്ടക്ക് പ്രണയിക്കാൻ അവസരം കിട്ടിയിട്ടും ഉണ്ട് ..... അത് ആസ്വദിക്കേം ചെയ്തിട്ടുണ്ട് .... ഞാൻ പിന്നേം കിടു 😌,51
1191389702407913472,2019-11-04 16:20:14,ക്വിറ്റാൻ ഓരോരുത്തർക്ക് ഓരോ കാരണങ്ങൾ .... എനിക്കൊന്നും ഒരു കാരണോം ഇല്ല ക്വിറ്റെം ഇല്ല,36
1191366794499330048,2019-11-04 14:49:12,പോ അണ്ണാച്ചി പിന്നെ വാ 🚶🏻‍♀️🚶🏻‍♀️,27
1191357633350885376,2019-11-04 14:12:48,ദേഷ്യം വരണൂ,3
1191356355711356928,2019-11-04 14:07:44,എന്റെ മാത്രം ജന്മദിനാശംസകൾ ♥️@SuFidulQuerist,3
1191355946661867520,2019-11-04 14:06:06,ഒരു മിനിറ്റ് കൂടെ ആയാൽ ഒരു മണിക്കൂറായി മെസ്സേജ് അയച്ചിട്ട് .... റിപ്ലൈ ഇല്ല,30
1191354208248684544,2019-11-04 13:59:12,നിങ്ങളൊക്കെ ആരാണ് 😐,12
1191344980364673025,2019-11-04 13:22:32,ഓളോല്ലാ ..... നിങ്ങൾക്കൊക്കെ ഇടക്കിടക്ക് വിവാദം ഉണ്ടാക്കിക്കൂടെ ഗയ്‌സ്  😐,18
1191289361117020165,2019-11-04 09:41:31,വാ നോക്കെല്ലേടാ കോപ്പേ 😝,25
1191288057326030848,2019-11-04 09:36:20,ഇങ്ങേരുടെ മുഖത്തു നോക്കി പട്ടീന്നു വിളിക്കാൻ തോന്നുന്നില്ല ..... എന്നാലും വെയിറ്റ് ചെയ്യുപ്പിക്കുന്നെന് കണക്കില്ലേ… https://t.co/3JvD0DFPSK,8
1191286836263444480,2019-11-04 09:31:29,"ബാങ്കിൽ മാനേജർ മുതൽ തൂപ്പ്കാരി വരെ അറിയുന്നവരാണ്‌ , എന്നാലും പോയാൽ ടൈം എടുക്കും 🤦🏻‍♀️ ആ കണക്കിന് അറിയാത്തവർ ആയിരുന്… https://t.co/eSxHSdMkw9",11
1191280894297792512,2019-11-04 09:07:52,കോപ്പ് നടു വേദന പിന്നേം വന്നു 😑,11
1191278120764002304,2019-11-04 08:56:51,ചോറ് കഴിച്ചു കഴിഞ്ഞാൽ വന്നൂടെ ചേട്ടൻമാരെ 😑,11
1191275236982870016,2019-11-04 08:45:23,സ്വന്തം നോട്ടി തന്നെ ഓഫാണ് ... പിന്ന്യാണ് മറ്റുള്ളോരെ നോട്ടി 😝,8
1191273188472156160,2019-11-04 08:37:15,സമയം നോക്കാതെ ബാങ്കിൽ വന്നപ്പോ ലഞ്ച് ബ്രേക്ക് ആണ് .... പോസ്റ്റായി കോപ്പ്,13
1191202686445637633,2019-11-04 03:57:06,ഏകദേശം കുടുംബക്കാരെഎല്ലാം സ്റ്റോറിയും സ്റ്റാറ്റസും ഹൈഡ് ചെയ്തിട്ടുണ്ട് ..... ഞാൻ പൊളി,9
1191199640634322944,2019-11-04 03:45:00,5 ഡേയ്സ് ♥️,11
1191038093744173056,2019-11-03 17:03:04,ചെറിയൊരു എൻഗേജ്മെന്റ് പാർട്ടിക്ക് മിനിമം മൂന്ന് ലക്ഷോക്കെ വേണം ....എങ്ങനെ ജീവിക്കുന്നാണ്,41
1191037020195287040,2019-11-03 16:58:48,ഒരാളോട് ഒടുക്കത്തെ പൊസ്സസ്സീവായിരുന്നു 😐,50
1191034395672473600,2019-11-03 16:48:22,ഫോൺ ഹാങ്ങാണോ നെറ്റ് കഴിഞ്ഞതാണോ :( എന്തോ പ്രശ്നമുണ്ട്,10
1191033874324672512,2019-11-03 16:46:18,ങും https://t.co/elqacxxoBy,6
1191033727893176320,2019-11-03 16:45:43,നീ ഹിമമഴയായ് വരൂ ♥️,5
1191033033991700481,2019-11-03 16:42:58,നാളെ മുതൽ മധുരം കുറക്കണം 😐,4
1191030577060691968,2019-11-03 16:33:12,ആറ്റ് നോറ്റ് കിട്ടിയ തഗ്ഗ് ലൈഫാണ് പൊളിച്ചേക്കാം ❣️,15
1191020812595163138,2019-11-03 15:54:24,നാളെ മുതൽ കട്ട ഡയറ്റിങ്ങാണ് ....,22
1191013377495068672,2019-11-03 15:24:51,"പിസ്ത , ക്യാരറ്റ് , ഗ്ലാസ് , ഇളനീര് , കസ്റ്റാഡ് , സ്ട്രോബെറി , ചോക്ലേറ്റ് സ്വന്തം കയ്യോണ്ട് ഉണ്ടാക്കിയ  പുഡ്ഡിംഗുക… https://t.co/ZxAG5N0SEZ",92
1191011674351792130,2019-11-03 15:18:05,6 ഡേയ്സ് ♥️,13
1191011246612443139,2019-11-03 15:16:23,ആർ യൂ ഓകെ ബേബി ♥️,18
1191010156726775813,2019-11-03 15:12:03,Happy Birthday  Dear 🎂 @GingerGirl_Z,3
1190966317962022912,2019-11-03 12:17:51,ഇവിടെ അഡിക്റ്റാവാൻ എന്തെയ്യൂന്നാണിപ്പോ  😐,11
1190688627862278144,2019-11-02 17:54:25,ഒരാഴ്ചത്തെ ഡ്രെസ്സാണ് ഇപ്പൊ എടുത്ത് വെക്കുന്നത് 😑,12
1190685339612041217,2019-11-02 17:41:21,11:11 ♥️,9
1190581176945106944,2019-11-02 10:47:27,പാരച്യൂട്ടിൽ കേറണായിരുന്നു 😐,20
1190578872833560577,2019-11-02 10:38:17,ഞാനൊക്കെ ഇവിടുത്തെ തവിടാണ്  😑,10
1190575985030123520,2019-11-02 10:26:49,എന്റെ ഫോളോ ലിസ്റ്റിൽ ഒറ്റ സെലീബ് ഇല്ല എനിക്ക് അങ്ങനെ ആരെയും തോന്നിയിട്ടില്ല.. (2),43
1190545577487941633,2019-11-02 08:25:59,ഫെറോറോയും ഹെർഷീസ് കിസ്സസും കൊള്ളാം .... പറയിപ്പിക്കാനായി മാക്കിറ്റോശ് അയില് വേണ്ടായിരുന്നു 🚶🏻‍♀️🚶🏻‍♀️🚶🏻‍♀️,11
1190543326820229120,2019-11-02 08:17:02,7 ഡേയ്സ് ♥️,5
1190542597392982018,2019-11-02 08:14:09,കാണാൻ പറ്റോന്നു ചോയ്‌ച്ചു ...... കാണാന്ന് പറഞ്ഞു .....#വന്നു_കണ്ടു_തന്നു_പോയി  #ആകസ്മികം ♥️ https://t.co/2MOEvkKjUh,60
1190511098916552704,2019-11-02 06:08:59,നചത്രത്തെ മേസ്ത്രി എങ്ങനാണ് സഹിക്കുന്നത് .... പാവം ഓന്,8
1190505869210873857,2019-11-02 05:48:12,ഫോണൊക്കെ ഗിഫ്റ്റായി കിട്ടാണേൽ ഞാൻ കല്യാണം കഴിക്കാൻ തയ്യാറാണ് 😌,49
1190474449755103233,2019-11-02 03:43:21,രാവിലെന്നെ എന്തിനാണ് ദേഷ്യം വരണത് 😐,13
1190473646910787586,2019-11-02 03:40:10,ആകസ്മികമായി ഒരു ട്വീറ്റപ്പ് അല്ലെ അത് 😧,8
1190308609592160257,2019-11-01 16:44:22,8 ഡേയ്സ് ♥️,13
1190307398746959873,2019-11-01 16:39:33,ങേ നിങ്ങളൊക്കെ അനോണികളായിരുന്നോ 🤦🏻‍♀️നിങ്ങളുടെ ഫോട്ടോയല്ലേ വാട്സാപ്പിലും ഡിഎമ്മിലും കറങ്ങി തിരിഞ്ഞു നടക്കുന്നെ :(,11
1190306628576268288,2019-11-01 16:36:29,നൈസായിട്ട് ഒളിച്ചോടി പോവണം 😌എന്തിനാണ് നാട്ടാരെയും വീട്ടാരെയും ഇവിടുള്ളോരേയൊക്കെ ബുദ്ധിമുട്ടിക്കുന്നേ 😐,19
1190301576218329088,2019-11-01 16:16:25,വളഞ്ഞ സ്ക്രൂവൊക്കെ മൊഞ്ചനാണല്ലേ  🤭,42
1190287634108575745,2019-11-01 15:21:01,ബ്ലൂ ഷേർട്ട് ഇട്ട ട്വീപ്പാരാണ് 😬,34
1190285685241942016,2019-11-01 15:13:16,ഒരൂസം കൊണ്ട് മെലിയാൻ വല്ല മാർഗോം ഉണ്ടോ 😑,19
1190283583065214976,2019-11-01 15:04:55,10 ദിവസമായി പുറത്തുന്നാണ് ഫുഡ് 😐 നല്ലോണം വെയിറ്റ് കൂടി 😑😑,8
1190281890915209223,2019-11-01 14:58:11,ഇവന്മാരൊക്കെ ഇങ്ങനെ വാച്ച് ചെയ്യൂന്നു അറിയുന്നത് കൊണ്ടാണ് ഞാൻ തട്ടം ഇടാതെ പോയത് 😌 https://t.co/tRSsqfb5I4,15
1190235470191423488,2019-11-01 11:53:44,കറീടെ കല്യാണത്തിന് വന്നവരാരും എന്നെ കണ്ടില്ലല്ലോല്ലേ 😌  #അനോണിഡാ 🤭,59
1190179429089046529,2019-11-01 08:11:03,11:11 ♥️,13
1190015609666301952,2019-10-31 21:20:05,ആരൂല്ല 😐,31
1189972907817988097,2019-10-31 18:30:24,00:00 ♥️,7
