id,created_at,text,fav
1191624656534421504,2019-11-05 07:53:52,അമ്പട.നെരത്തിപ്പിടിച്ച് എല്ലാരും ആ വീഡിയോ ഡൗണ്‍ലോഡാന്‍ നോക്കുവാണല്ലേ..,16
1191335652991782917,2019-11-04 12:45:28,ഹോ പോസ്റ്റാക്കി പോസ്റ്റാക്കി😑😑😑,8
1191206944775663616,2019-11-04 04:14:01,ഇനിയെന്നാണ് അടുത്ത വീക്കെന്‍ഡ് :(,15
1191014116858585089,2019-11-03 15:27:48,ഞാനൊക്കെ ഇനി കല്യാണത്തിനിവിടന്നാരെയൊക്കെ വിളിക്കണംന്ന് ആലോയ്ക്കുവാണ്..,23
1190997548623773697,2019-11-03 14:21:57,"പുത്യേ പിജിലെ റൂമത്ര പോരെങ്കിലും ഫുഡ് കിടു.പുട്ട് ,അപ്പം , മസാലദോശ ,ബിരിയാണി ഒക്കെ ഉണ്ട്.😀",50
1190521042059481088,2019-11-02 06:48:29,Nobody: Me:😑😑😑 https://t.co/xEmqriZbkJ,64
1190114074291388416,2019-11-01 03:51:21,ഓഫീസിന്‍റെ പുറത്ത് ഹോളിഡേ ന്ന് പറഞ്ഞ് ബോര്‍ഡൊക്കെ വെക്കും.പക്ഷെ നമ്മള് വര്‍ക്കെയ്യണം.എന്താല്ലേ..,55
1190113145211064320,2019-11-01 03:47:39,ഹോ ഇനിപൊ ഇവര്ടെ ഫ്ലാഗ് പൊക്കല്‍ ഷോയും കന്നഡഗാനം പാടലുമൊക്കെ കേക്കണോല്ലോ....😬😬😬,30
1189938764501487619,2019-10-31 16:14:44,പത്തിരീം ചിക്കനും.😜,11
1189596167958495232,2019-10-30 17:33:22,വീണ്ടും.😣,9
1189468923487379456,2019-10-30 09:07:45,എന്നാപിന്നെ ഒരു പവര്‍നാപ് ആയേക്കാം.,4
1189443452133470208,2019-10-30 07:26:32,ഞാനെന്ത് പറഞ്ഞാലും തള്ളെന്ന് പറഞ്ഞ് തളര്‍ത്തുന്ന ലോബി,5
1189421095985696768,2019-10-30 05:57:42,അല്ലേലും ഇവിടിങ്ങനെ രോഷം കൊണ്ടിണ്ടെന്ത് കാര്യമാണ് !,11
1189354106751717376,2019-10-30 01:31:30,അപരന്നായര്‍ക്ക് പിന്നേം കിട്ടിയല്ലേ പെണ്‍പിള്ളേര്‍ടെ കയ്യിന്ന്. 😂😂😂,11
1189247697452187650,2019-10-29 18:28:40,ഹ്വോ 😑😑😒,2
1189243419417296898,2019-10-29 18:11:40,ഞാനിങ്ങനെ ഘോരഘോരം പ്രസംഗിച്ചോണ്ടിരിക്കുമ്പൊ സ്വിച്ചിട്ടപോലെ  ഒറങ്ങിപ്പോണതൊക്കെ എന്ത് കഷ്ടമാണ്.🙄,41
1189240803488665601,2019-10-29 18:01:17,ബാംഗ്ലൂര്‍ തണുപ്പൊക്കെ തുടങ്ങി.,4
1189240504615092225,2019-10-29 18:00:05,റിപീറ്റ് 😑,2
1189078332744204290,2019-10-29 07:15:41,ആ കുഞ്ഞിന്‍റെ ഫോട്ടോ കാണാന്‍ വയ്യല്ലോ 😓😓😓,9
